policy_family,intervention_count,fpr_budget,tp,fp,tn,fn,precision,recall,fpr,intervention_rate,verify_count,review_count,hold_count,loss_avoided,intervention_cost,net_value
LOW_FRICTION,490,0.0025,338,152,85387,2704,0.689795918367347,0.1111111111111111,0.0017769672313213856,0.005531660288323681,490,0,0,51510.024000000005,9800.0,41710.024000000005
LOW_FRICTION,491,0.0025,338,153,85386,2704,0.6883910386965377,0.1111111111111111,0.001788657805211658,0.005542949390952913,491,0,0,51510.024000000005,9820.0,41690.024000000005
LOW_FRICTION,492,0.0025,338,154,85385,2704,0.6869918699186992,0.1111111111111111,0.0018003483791019302,0.005554238493582145,492,0,0,51510.024000000005,9840.0,41670.024000000005
LOW_FRICTION,493,0.0025,338,155,85384,2704,0.6855983772819473,0.1111111111111111,0.0018120389529922025,0.005565527596211377,493,0,0,51510.024000000005,9860.0,41650.024000000005
LOW_FRICTION,494,0.0025,338,156,85383,2704,0.6842105263157895,0.1111111111111111,0.0018237295268824746,0.00557681669884061,494,0,0,51510.024000000005,9880.0,41630.024000000005
LOW_FRICTION,495,0.0025,339,156,85383,2703,0.6848484848484848,0.11143984220907298,0.0018237295268824746,0.005588105801469841,495,0,0,51542.288799999995,9900.0,41642.288799999995
LOW_FRICTION,496,0.0025,340,156,85383,2702,0.6854838709677419,0.11176857330703485,0.0018237295268824746,0.005599394904099073,496,0,0,51592.6536,9920.0,41672.6536
LOW_FRICTION,497,0.0025,340,157,85382,2702,0.6841046277665996,0.11176857330703485,0.0018354201007727469,0.005610684006728305,497,0,0,51592.6536,9940.0,41652.6536
LOW_FRICTION,498,0.0025,341,157,85382,2701,0.6847389558232931,0.11209730440499671,0.0018354201007727469,0.0056219731093575375,498,0,0,52352.6536,9960.0,42392.6536
LOW_FRICTION,499,0.0025,341,158,85381,2701,0.6833667334669339,0.11209730440499671,0.0018471106746630191,0.005633262211986769,499,0,0,52352.6536,9980.0,42372.6536
LOW_FRICTION,500,0.0025,342,158,85381,2700,0.684,0.11242603550295859,0.0018471106746630191,0.005644551314616001,500,0,0,52507.053599999985,10000.0,42507.053599999985
