bin,lower,upper,count,mean_probability,observed_rate,absolute_gap,raw_mean_probability,raw_observed_rate
0,0.0,0.1,81551,0.02035942853126174,0.01964414906009736,0.0007152794711643776,0.02259393399386443,0.019549500811488714
1,0.1,0.2,4969,0.14280610247354641,0.14127591064600523,0.0015301918275411885,0.13839989098870537,0.13195178684711356
2,0.2,0.30000000000000004,1359,0.23746488666851925,0.27005150846210446,0.03258662179358521,0.2412852078012275,0.2366412213740458
3,0.30000000000000004,0.4,203,0.34800543984338633,0.4236453201970443,0.07563988035365798,0.3419237012986765,0.30170316301703165
4,0.4,0.5,225,0.4621897834307827,0.4888888888888889,0.026699105458106165,0.4507460028804314,0.45454545454545453
5,0.5,0.6000000000000001,85,0.5250795582927975,0.6470588235294118,0.12197926523661429,0.5466792734041224,0.4857142857142857
6,0.6000000000000001,0.7000000000000001,6,0.6153846153846154,1.0,0.3846153846153846,0.6429612779424692,0.648
7,0.7000000000000001,0.8,41,0.7864611612556958,0.6585365853658537,0.12792457588984207,0.7426111642853528,0.8
8,0.8,0.9,57,0.8355081546699935,0.8421052631578947,0.006597108487901182,0.8468883653428636,0.9038461538461539
9,0.9,1.0,85,0.9751463586108835,0.9411764705882353,0.03396988802264822,0.9257410972384257,0.9736842105263158
