bin,lower,upper,count,mean_probability,observed_rate,absolute_gap,raw_mean_probability,raw_observed_rate
0,0.0,0.1,82196,0.01914847465953262,0.020730935811961653,0.0015824611524290315,0.06753789236039319,0.0010915044569765327
1,0.1,0.2,4715,0.15141646943469078,0.15885471898197243,0.0074382495472816446,0.14863137498234502,0.003660565723793677
2,0.2,0.30000000000000004,1107,0.2546308388986216,0.2962962962962963,0.04166545739767469,0.24979545815080678,0.012158263497733204
3,0.30000000000000004,0.4,139,0.31224252488260584,0.39568345323741005,0.08344092835480421,0.3486200030917805,0.020762447052288035
4,0.4,0.5,81,0.40206368936600967,0.38271604938271603,0.01934763998329364,0.4475511366394596,0.03116576819407008
5,0.5,0.6000000000000001,205,0.5029774757772435,0.5219512195121951,0.018973743734951642,0.5454924593836508,0.039776258545680544
6,0.6000000000000001,0.7000000000000001,86,0.6926394127335035,0.7674418604651163,0.07480244773161282,0.6468092543147443,0.05608199574550377
7,0.7000000000000001,0.8,1,0.7536588660179083,1.0,0.24634113398209168,0.749425529905939,0.10690537084398977
8,0.8,0.9,16,0.8823529411764706,0.5625,0.31985294117647056,0.8455565009185314,0.19217970049916805
9,0.9,1.0,35,0.985628650862204,0.9428571428571428,0.04277150800506113,0.9321023397694405,0.4494494494494494
