feature,n_unique,train_zero_rate,cal_zero_rate,test_zero_rate,train_mean,cal_mean,test_mean,train_std,cal_std,test_std,train_auc,cal_auc,test_auc,train_pr_auc,cal_pr_auc,test_pr_auc,psi_train_to_cal,psi_train_to_test,auc_test_minus_train,pr_auc_test_minus_train,future_fraud_mean,future_legit_mean,future_fraud_median,future_legit_median,future_mean_separation,semantic_level,semantic_reason
amount,15931,0.0,0.0,0.0,134.6048915399465,134.8764824736682,137.1485328230659,238.007690001735,237.08944556688363,246.48235475696302,0.499387761152686,0.512951781978191,0.4731715674369152,0.038457446081064134,0.04035734250236736,0.03712227931551147,0.010703339329647711,0.010251511393487713,-0.02621619371577083,-0.0013351667655526617,152.321933506325,136.60139026643898,63.95,68.53,17.275114623662244,GREEN,Current-transaction amount is directly available and has no identity proxy dependency.
customer_transactions_1h,69,0.5720841457455405,0.614962576624784,0.5910861245639584,1.3581492000058057,1.0384281053499058,2.321874894164663,3.2932177648900587,2.6854793610481935,11.946104936522586,0.5430193429531417,0.5337845268436984,0.5296022046089142,0.03776292377291216,0.03638310921895062,0.03550449739635801,0.017713264192461005,0.0023897708545748977,-0.01341713834422753,-0.00225842637655415,1.0882257541355822,2.366359447004608,0.0,0.0,6.380230198793721,GREEN,Event-time rolling customer velocity with strict prior-event semantics is directly comparable to the production Redis feature.
customer_transactions_1m,9,0.9689025540788334,0.9724320113794155,0.9550580824330274,0.033514120248295746,0.029182330296564727,0.08150732098305506,0.19672318941095787,0.17822168125600008,0.5005699747731736,0.5164225179109665,0.5125877889273264,0.5036507730970134,0.03745281676933355,0.03588558816930429,0.035018496511401716,,,-0.012771744813953045,-0.0024343202579318324,0.055465455724943234,0.08244637301457344,0.0,0.0,0.6579098325939076,GREEN,Event-time rolling customer velocity with strict prior-event semantics is directly comparable to the production Redis feature.
payment_customer_count,2,0.03137322257110925,0.008195888508822434,0.00997956672424109,0.9686267774288907,0.9918041114911775,0.990020433275759,0.1743244589565215,0.09015990066164459,0.09939862428398143,0.5057071058759907,0.4977756665569782,0.49912071130802543,0.03556048993603265,0.03419456199353619,0.034745328863788186,,,-0.006586394567965226,-0.0008151610722444622,0.9883230619526435,0.9900816393365927,1.0,1.0,0.09622854208661402,RED,"The IEEE-CIS payment proxy includes card1 (the customer proxy), so distinct-payment-to-customer graph cardinality collapses to ~1."
merchant_transaction_count,291924,1.2095467102748574e-05,0.0,0.0,112490.25350647591,280360.2283333898,327269.89370180963,93846.51218584184,114869.04587774942,149424.84751793765,0.4019535477344334,0.3412064102713982,0.33768535875067407,0.027672879791489267,0.02435065567101823,0.02497664548661574,6.882271391775055,8.39630301373772,-0.06426818898375936,-0.002696234304873528,201800.24943237106,331794.2441343657,66925.0,396050.5,5839.013585043326,RED,"ProductCD is only a low-cardinality merchant proxy; it is not a real merchant identifier, so cumulative merchant counts are not production-semantic."
ip_customer_count,2045,0.0009676373682198859,0.0002709384631015681,0.00015804743680924803,809.1425547561796,1188.751786500491,1291.454646030187,499.95905742566526,575.1312984231863,618.9404388866061,0.5837969497979689,0.6417297675192184,0.6605630121474789,0.05992941716619711,0.07834020342078891,0.09446341175108561,0.8066935064100689,0.8146302247920651,0.07676606234951,0.0345339945848885,1648.930262731106,1278.5643172939717,1852.0,1236.0,257.6036426740107,YELLOW,"Temporal replay semantics are production-aligned, but IEEE-CIS DeviceInfo/IP proxies do not provide the same identity fidelity as real production device/IP identifiers."
ip_transactions_1h,89,0.07533782639617977,0.09144173129677922,0.08937582551562977,10.91590263632801,7.728553527280116,9.285196599722289,11.261958603346592,6.852194060338974,13.93597108615094,0.574603209087617,0.5901338116461312,0.6112997849913571,0.05005449034616785,0.056125012274134856,0.05502387700046294,0.16735376934251722,0.06579882980292792,0.03669657590374009,0.00496938665429509,12.112228349010703,9.183255748672483,10.0,6.0,13.540646243354889,YELLOW,"Temporal replay semantics are production-aligned, but IEEE-CIS DeviceInfo/IP proxies do not provide the same identity fidelity as real production device/IP identifiers."
customer_degree,10211,0.02961454165436961,0.007620144274731602,0.007179869272191553,926.3183599514246,2017.7099942425577,2435.332035086531,1594.058150124732,2915.0880142396436,3528.536376868331,0.54011659926388,0.521516468579077,0.5205290608266386,0.03737765317192397,0.03478113953767168,0.035348717049251265,0.23242000560371795,0.32770322882806635,-0.01958753843724137,-0.0020289361226727073,2429.95264352903,2435.5260123043813,973.0,915.0,1.6186462940179234,YELLOW,"The cumulative graph-degree definition is production-aligned, but its quality depends on the dataset's proxy identities."
device_customer_count,9406,0.003742337521590409,0.0015240288549463203,0.0011853557760693602,5761.135515194326,8712.425474988993,8996.156783057315,2923.572567545221,2639.6345309749413,2960.373026400028,0.4079732525224237,0.3957396651080234,0.3693707979443586,0.02928999962766581,0.027210167253564885,0.027393727538063142,7.746336562214566,7.5696784091535605,-0.038602454578065104,-0.0018962720896026665,6689.901070385988,9079.318802779013,10070.0,10227.0,761.820823628631,YELLOW,"Temporal replay semantics are production-aligned, but IEEE-CIS DeviceInfo/IP proxies do not provide the same identity fidelity as real production device/IP identifiers."
device_transactions_1h,740,0.04117538911117669,0.04310179383840779,0.04200675088337228,134.38105317651156,124.48907779320622,117.52931215497681,92.17817781383151,67.8227697407907,65.88519499920618,0.3724995501812872,0.3818566993279473,0.33804094462735496,0.02692235812374164,0.026523019645302,0.02500972617506729,0.24620347599879813,0.38136112171288644,-0.034458605553932264,-0.0019126319486743489,75.8806357444048,119.03113523123348,50.0,139.5,92.04479840356858,YELLOW,"Temporal replay semantics are production-aligned, but IEEE-CIS DeviceInfo/IP proxies do not provide the same identity fidelity as real production device/IP identifiers."
