probability_threshold,transactions,transaction_rate,fraud_count,precision,fraud_capture,legitimate_challenge_rate
0.1,6011,0.06785879590431357,915,0.15222092829812012,0.296788842036977,0.05960373342066481
0.15,1508,0.01702396676488186,383,0.2539787798408488,0.12422964644826467,0.013158202531053358
0.2,769,0.00868131992187941,238,0.3094928478543563,0.07719753486863444,0.006210671594657185
0.25,217,0.0024497352705433444,101,0.46543778801843316,0.03276029841063899,0.0013567568832019462
0.3,116,0.0013095359049909122,52,0.4482758620689655,0.016866688290626014,0.000748555521766591
0.35,116,0.0013095359049909122,52,0.4482758620689655,0.016866688290626014,0.000748555521766591
0.4,116,0.0013095359049909122,52,0.4482758620689655,0.016866688290626014,0.000748555521766591
0.5,75,0.0008466826971924001,39,0.52,0.01265001621796951,0.00042106248099370747
0.6,27,0.0003048057709892641,14,0.5185185185185185,0.0045410314628608495,0.0001520503403588388
0.7,3,3.386730788769601e-05,3,1.0,0.0009730781706130393,0.0
0.8,3,3.386730788769601e-05,3,1.0,0.0009730781706130393,0.0
0.9,3,3.386730788769601e-05,3,1.0,0.0009730781706130393,0.0
