bin,lower,upper,count,fraction,mean_probability,observed_fraud_rate,absolute_error
0,0.0,0.1,2754,0.031090188640904935,0.06985310515528037,0.005083514887436456,0.06476959026784392
1,0.1,0.2,10419,0.11762116029396823,0.15695246137567997,0.007390344562817929,0.14956211681286205
2,0.2,0.30000000000000004,17952,0.2026619703999729,0.25299902265814495,0.017992424242424244,0.2350065984157207
3,0.30000000000000004,0.4,17342,0.1957756177961414,0.3485107848147655,0.021277822627147964,0.32723296218761755
4,0.4,0.5,15802,0.1783903997471241,0.4482405436799888,0.02670548031894697,0.4215350633610418
5,0.5,0.6000000000000001,10305,0.11633420259423578,0.5458031243590192,0.04269771955361475,0.5031054048054044
6,0.6000000000000001,0.7000000000000001,6648,0.07504995427913436,0.6461850955497879,0.062123947051744885,0.584061148498043
7,0.7000000000000001,0.8,4555,0.05142186247615177,0.748752774655311,0.09484083424807903,0.653911940407232
8,0.8,0.9,2440,0.027545410415326085,0.8397157473278759,0.18565573770491803,0.6540600096229578
9,0.9,1.0,364,0.004109233357040449,0.9257176046541231,0.38461538461538464,0.5411022200387385
