threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.0,3083,85498,0,0,88581,0.03480430340592226,1.0,1.0,1.0,375686.8168,1709960.0,-1334273.1832
0.001,3077,84879,619,6,87956,0.03498340079130474,0.9980538436587739,0.9927600645629138,0.99294431085673,375514.096,1697580.0,-1322065.904
0.002,3077,84878,620,6,87955,0.03498379853334091,0.9980538436587739,0.9927483683828862,0.9929330217541008,375514.096,1697560.0,-1322045.904
0.003,3077,84877,621,6,87954,0.034984196284421405,0.9980538436587739,0.9927366722028585,0.9929217326514715,375514.096,1697540.0,-1322025.904
0.004,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.005,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.006,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.007,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.008,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.009000000000000001,3056,80053,5445,27,83109,0.03677098749834554,0.9912422964644827,0.9363142997497017,0.9382260304128425,374477.056,1601060.0,-1226582.9440000001
0.01,3019,75070,10428,64,78089,0.03866101499571002,0.9792409990269219,0.8780322346721561,0.8815547352140979,370429.608,1501400.0,-1130970.392
0.011,3018,75069,10429,65,78087,0.03864919897037919,0.9789166396367175,0.8780205384921285,0.8815321570088394,370400.04800000007,1501380.0,-1130979.952
0.012,2991,72264,13234,92,75255,0.03974486745066773,0.9701589361012001,0.8452127535147022,0.8495614183628544,369091.28080000007,1445280.0,-1076188.7192
0.013000000000000001,2963,69720,15778,120,72683,0.04076606634288623,0.9610768731754784,0.8154576715244801,0.8205258464004697,367239.78,1394400.0,-1027160.22
